BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:1E:A6:67:C4:E9, 2018-02-04 13:24:17, 2018-02-04 13:37:02,9,54, OPN, ,   ,-87,51,1,   0.  0.  0.  0,9, KALYANKAR, 
10:BE:F5:FC:C1:F3, 2018-02-04 13:24:20, 2018-02-04 13:36:56,13,54, WPA2, CCMP,PSK,-87,156,0,   0.  0.  0.  0,6, PANKAJ, 
10:BE:F5:A3:7C:9F, 2018-02-04 13:24:24, 2018-02-04 13:36:55,1,54, WPA2, CCMP,PSK,-87,128,25,   0.  0.  0.  0,6, VISHAL, 
2C:D0:2D:11:70:80, 2018-02-04 13:24:15, 2018-02-04 13:37:00,1,54, OPN, ,   ,-87,337,76,  10.128.128.128,9, BSNL WiFi, 
70:4F:57:4C:39:5B, 2018-02-04 13:36:57, 2018-02-04 13:37:02,3,54, WPA2, CCMP TKIP,PSK,-87,9,0,   0.  0.  0.  0,11, iBall-Baton, 
00:1E:A6:A1:2B:60, 2018-02-04 13:24:15, 2018-02-04 13:37:00,1,54, WPA2, CCMP,PSK,-86,348,0,   0.  0.  0.  0,6, om sai, 
C8:3A:35:B7:82:28, 2018-02-04 13:24:15, 2018-02-04 13:37:01,7,54, WPA, CCMP,PSK,-86,203,26,   0.  0.  0.  0,8, maharana, 
00:1E:A6:66:ED:20, 2018-02-04 13:24:15, 2018-02-04 13:37:00,7,54, WPA2 WPA, CCMP TKIP,PSK,-86,276,88,   0.  0.  0.  0,6, Manvik, 
00:1E:A6:79:D0:48, 2018-02-04 13:24:16, 2018-02-04 13:37:00,7,54, WPA2 WPA, CCMP TKIP,PSK,-85,239,10,   0.  0.  0.  0,15, iBall-Baton 123, 
2C:D0:2D:11:70:81, 2018-02-04 13:24:24, 2018-02-04 13:37:00,1,54, WPA2, CCMP, MGT,-83,222,0,   0.  0.  0.  0,12, BSNL 4G plus, 
2C:D0:2D:11:70:82, 2018-02-04 13:24:15, 2018-02-04 13:37:00,1,54, WPA2, CCMP, MGT,-82,304,0,   0.  0.  0.  0,13, BSNL Broad Fi, 
00:1E:A6:A9:2A:B0, 2018-02-04 13:24:15, 2018-02-04 13:37:02,8,54, WPA2 WPA, CCMP TKIP,PSK,-81,527,12,   0.  0.  0.  0,6, om sai, 
00:1E:A6:4E:43:D0, 2018-02-04 13:24:15, 2018-02-04 13:37:02,8,54, WPA2 WPA, CCMP TKIP,PSK,-71,908,3081,   0.  0.  0.  0,11, iBall-Baton, 
C4:E9:84:9A:E7:C6, 2018-02-04 13:24:15, 2018-02-04 13:37:01,7,54, WPA2, CCMP,PSK,-54,1096,3250,   0.  0.  0.  0,7, Crackit, 
02:71:CC:1E:7B:24, 2018-02-04 13:24:18, 2018-02-04 13:36:59,11,54, WPA2, CCMP,PSK,-50,401,0,   0.  0.  0.  0,16, DIRECT-is-BRAVIA, 
54:B8:0A:0F:97:A6, 2018-02-04 13:24:40, 2018-02-04 13:36:57,9,-1, WPA, ,   ,-1,0,14,   0.  0.  0.  0,0, , 
00:1E:A6:81:3C:20, 2018-02-04 13:36:50, 2018-02-04 13:36:50,6,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , 
7C:8B:CA:9E:61:5E, 2018-02-04 13:37:00, 2018-02-04 13:37:00,-1,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs,,,,,,,,
D8:5D:E2:AD:F9:DD, 2018-02-04 13:07:45, 2018-02-04 13:07:49,-43,16, C4:E9:84:9A:E7:C6,,,,,,,,,
AC:9E:17:61:75:F7, 2018-02-04 13:07:54, 2018-02-04 13:07:54,-92,1, (not associated) ,,,,,,,,,
CC:61:E5:F4:92:FC, 2018-02-04 13:08:42, 2018-02-04 13:08:42,-91,1, (not associated) ,,,,,,,,,
DA:A1:19:0A:A1:30, 2018-02-04 13:08:39, 2018-02-04 13:08:39,-89,1, (not associated) ,,,,,,,,,
88:79:7E:BD:86:CC, 2018-02-04 13:07:50, 2018-02-04 13:07:50,-85,8, 00:1E:A6:4E:43:D0,,,,,,,,,
04:56:04:BC:66:3D, 2018-02-04 13:08:19, 2018-02-04 13:08:49,-85,2, (not associated) ,,,,,,,,,
64:6C:B2:E6:35:A3, 2018-02-04 13:07:57, 2018-02-04 13:07:57,-77,4, (not associated) ,maharana,,,,,,,,
DA:A1:19:81:35:20, 2018-02-04 13:08:10, 2018-02-04 13:08:11,-51,7, (not associated) ,,,,,,,,,
74:8D:08:34:D7:91, 2018-02-04 13:08:07, 2018-02-04 13:08:21,-37,6, C4:E9:84:9A:E7:C6,,,,,,,,,
A0:32:99:A9:05:DA, 2018-02-04 13:07:45, 2018-02-04 13:08:50,-1,518, 00:1E:A6:4E:43:D0,,,,,,,,,
2C:FD:AB:24:91:23, 2018-02-04 13:07:53, 2018-02-04 13:07:53,-1,1, 2C:D0:2D:11:70:80,,,,,,,,,
38:A4:ED:C2:21:C7, 2018-02-04 13:08:21, 2018-02-04 13:08:21,-1,2, 00:1E:A6:79:D0:48,,,,,,,,,
00:6F:64:7B:7A:73, 2018-02-04 13:08:25, 2018-02-04 13:08:39,-1,2, 10:BE:F5:A3:7C:9F,,,,,,,,,
B0:C5:59:E5:7A:D2, 2018-02-04 13:08:50, 2018-02-04 13:08:50,-1,2, 00:1E:A6:93:6F:60,,,,,,,,,
64:6C:B2:E6:35:A3, 2018-02-04 13:14:35, 2018-02-04 13:21:45,-93,12, C8:3A:35:B7:82:28,maharana,,,,,,,,
38:A4:ED:59:49:17, 2018-02-04 13:20:32, 2018-02-04 13:20:32,-1,6, 00:1E:A6:77:D6:A0,,,,,,,,,
44:74:6C:BD:92:25, 2018-02-04 13:17:24, 2018-02-04 13:20:35,-81,4, DC:1A:C5:69:B7:DF,,,,,,,,,
DA:A1:19:8D:27:6B, 2018-02-04 13:20:24, 2018-02-04 13:20:24,-85,4, (not associated) ,,,,,,,,,
DA:A1:19:E9:21:04, 2018-02-04 13:20:12, 2018-02-04 13:20:12,-89,2, (not associated) ,,,,,,,,,
DA:A1:19:E1:2D:30, 2018-02-04 13:19:58, 2018-02-04 13:19:58,-90,1, (not associated) ,,,,,,,,,
78:A8:73:09:AC:DD, 2018-02-04 13:12:45, 2018-02-04 13:18:58,-1,186, 00:1E:A6:4E:43:D0,,,,,,,,,
DA:A1:19:E3:99:9C, 2018-02-04 13:18:58, 2018-02-04 13:18:58,-83,1, (not associated) ,,,,,,,,,
DA:A1:19:39:C0:3A, 2018-02-04 13:18:55, 2018-02-04 13:18:55,-88,1, (not associated) ,,,,,,,,,
DA:A1:19:55:9D:CC, 2018-02-04 13:18:42, 2018-02-04 13:18:43,-89,4, (not associated) ,,,,,,,,,
1C:56:FE:0D:B7:3F, 2018-02-04 13:13:40, 2018-02-04 13:18:07,-91,11, (not associated) ,,,,,,,,,
40:4D:7F:79:A1:29, 2018-02-04 13:16:50, 2018-02-04 13:17:59,-1,2, 70:4F:57:4C:39:5B,,,,,,,,,
00:6F:64:7B:7A:73, 2018-02-04 13:15:18, 2018-02-04 13:17:11,-1,6, 10:BE:F5:A3:7C:9F,,,,,,,,,
72:4F:56:4C:39:5A, 2018-02-04 13:16:37, 2018-02-04 13:17:08,-93,4, 00:1E:A6:05:2F:9E,,,,,,,,,
90:21:81:C4:92:93, 2018-02-04 13:15:59, 2018-02-04 13:15:59,-94,1, (not associated) ,,,,,,,,,
DA:A1:19:3D:39:24, 2018-02-04 13:13:36, 2018-02-04 13:13:36,-89,2, (not associated) ,,,,,,,,,
5C:99:60:07:75:84, 2018-02-04 13:13:20, 2018-02-04 13:13:20,-87,1, (not associated) ,,,,,,,,,
EC:DF:3A:17:EA:AE, 2018-02-04 13:13:11, 2018-02-04 13:13:11,-88,39, E4:6F:13:C3:C0:25,,,,,,,,,
DA:A1:19:1F:D3:BE, 2018-02-04 13:13:06, 2018-02-04 13:13:06,-90,1, (not associated) ,,,,,,,,,
04:56:04:BC:66:3D, 2018-02-04 13:13:50, 2018-02-04 13:13:50,-90,2, (not associated) ,,,,,,,,,
02:71:CC:1E:7B:24, 2018-02-04 13:14:23, 2018-02-04 13:14:27,-47,2, (not associated) ,DIRECT-,,,,,,,,
DA:A1:19:D8:C3:77, 2018-02-04 13:14:52, 2018-02-04 13:14:52,-27,1, (not associated) ,,,,,,,,,
EC:51:BC:49:65:6F, 2018-02-04 13:14:52, 2018-02-04 13:14:52,-1,1, 78:11:DC:18:75:4E,,,,,,,,,
30:84:54:27:45:D7, 2018-02-04 13:15:53, 2018-02-04 13:15:53,-88,1, (not associated) ,,,,,,,,,
DA:A1:19:C4:A2:FD, 2018-02-04 13:16:02, 2018-02-04 13:16:02,-90,1, (not associated) ,,,,,,,,,
DA:A1:19:F2:B5:69, 2018-02-04 13:16:18, 2018-02-04 13:16:18,-88,1, (not associated) ,,,,,,,,,
DA:A1:19:9F:5F:F0, 2018-02-04 13:16:42, 2018-02-04 13:16:42,-88,1, (not associated) ,,,,,,,,,
72:4F:56:79:A1:29, 2018-02-04 13:16:50, 2018-02-04 13:16:50,-93,1, 00:1E:A6:05:2F:9E,,,,,,,,,
72:4F:56:91:EC:A0, 2018-02-04 13:16:50, 2018-02-04 13:16:50,-93,1, 00:1E:A6:05:2F:9E,,,,,,,,,
DA:A1:19:EB:99:27, 2018-02-04 13:16:54, 2018-02-04 13:16:54,-91,2, (not associated) ,,,,,,,,,
DA:A1:19:F5:BF:B7, 2018-02-04 13:17:54, 2018-02-04 13:17:54,-95,2, (not associated) ,,,,,,,,,
88:79:7E:BD:86:CC, 2018-02-04 13:13:27, 2018-02-04 13:18:04,-92,3, 00:1E:A6:4E:43:D0,,,,,,,,,
DA:A1:19:01:E6:4B, 2018-02-04 13:18:13, 2018-02-04 13:18:13,-90,4, (not associated) ,,,,,,,,,
DA:A1:19:CE:33:F6, 2018-02-04 13:18:28, 2018-02-04 13:18:28,-91,1, (not associated) ,,,,,,,,,
72:4F:56:2A:B7:16, 2018-02-04 13:19:52, 2018-02-04 13:19:52,-95,1, 00:1E:A6:05:2F:9E,,,,,,,,,
4C:A5:6D:B3:69:7B, 2018-02-04 13:20:28, 2018-02-04 13:20:28,-1,1, 00:1E:A6:A9:2A:B0,,,,,,,,,
BC:2F:3D:9F:6B:11, 2018-02-04 13:20:29, 2018-02-04 13:20:29,-1,1, 00:1E:A6:4E:43:D0,,,,,,,,,
DA:A1:19:9F:53:3E, 2018-02-04 13:20:52, 2018-02-04 13:20:53,-29,4, (not associated) ,,,,,,,,,
18:F0:E4:C2:E0:FD, 2018-02-04 13:12:50, 2018-02-04 13:21:01,-87,193, 54:B8:0A:0F:97:A6,,,,,,,,,
90:21:81:1F:2F:88, 2018-02-04 13:20:51, 2018-02-04 13:22:15,-96,2, (not associated) ,,,,,,,,,
DA:A1:19:EB:0B:F6, 2018-02-04 13:22:47, 2018-02-04 13:22:47,-90,1, (not associated) ,,,,,,,,,
E4:F8:9C:D6:EF:75, 2018-02-04 13:19:34, 2018-02-04 13:22:46,-88,3, 54:B8:0A:0F:97:A6,,,,,,,,,
00:03:AB:FA:E2:0C, 2018-02-04 13:22:28, 2018-02-04 13:22:49,-88,5, (not associated) ,,,,,,,,,
74:8D:08:34:D7:91, 2018-02-04 13:13:06, 2018-02-04 13:22:16,-39,35, C4:E9:84:9A:E7:C6,,,,,,,,,
D8:5D:E2:AD:F9:DD, 2018-02-04 13:12:48, 2018-02-04 13:22:38,-34,90, C4:E9:84:9A:E7:C6,,,,,,,,,
4C:49:E3:78:8D:35, 2018-02-04 13:12:48, 2018-02-04 13:22:34,-28,47, C4:E9:84:9A:E7:C6,,,,,,,,,
2C:FD:AB:24:91:23, 2018-02-04 13:13:11, 2018-02-04 13:22:25,-1,110, 2C:D0:2D:11:70:80,,,,,,,,,
A0:32:99:A9:05:DA, 2018-02-04 13:12:46, 2018-02-04 13:22:50,-1,5245, 00:1E:A6:4E:43:D0,,,,,,,,,
B4:62:93:F4:73:85, 2018-02-04 13:22:07, 2018-02-04 13:22:07,-1,1, 2C:D0:2D:11:70:80,,,,,,,,,
AC:C1:EE:A6:80:D3, 2018-02-04 13:22:53, 2018-02-04 13:22:53,-1,23, C8:3A:35:B7:82:28,,,,,,,,,
D8:5D:E2:AD:F9:DD, 2018-02-04 13:24:51, 2018-02-04 13:35:37,-34,299, C4:E9:84:9A:E7:C6,,,,,,,,,
A0:32:99:A9:05:DA, 2018-02-04 13:24:26, 2018-02-04 13:34:36,-1,2900, 00:1E:A6:4E:43:D0,,,,,,,,,
2C:FD:AB:24:91:23, 2018-02-04 13:32:22, 2018-02-04 13:34:25,-1,5, 2C:D0:2D:11:70:80,,,,,,,,,
BC:D1:1F:F3:40:18, 2018-02-04 13:32:33, 2018-02-04 13:32:33,-92,1, (not associated) ,,,,,,,,,
EC:51:BC:49:65:6F, 2018-02-04 13:32:11, 2018-02-04 13:32:11,-1,1, 78:11:DC:18:75:4E,,,,,,,,,
DA:A1:19:AF:60:0B, 2018-02-04 13:32:13, 2018-02-04 13:32:14,-90,3, (not associated) ,,,,,,,,,
98:E7:9A:51:C6:5A, 2018-02-04 13:24:50, 2018-02-04 13:32:13,-90,2, (not associated) ,,,,,,,,,
EC:01:EE:BD:50:8B, 2018-02-04 13:31:37, 2018-02-04 13:31:37,-91,1, (not associated) ,,,,,,,,,
90:21:81:1F:2F:88, 2018-02-04 13:25:44, 2018-02-04 13:29:36,-91,8, A8:6B:AD:05:81:79,,,,,,,,,
E4:F8:9C:D6:EF:75, 2018-02-04 13:24:40, 2018-02-04 13:29:12,-89,6, 54:B8:0A:0F:97:A6,,,,,,,,,
B4:CE:F6:6E:68:9C, 2018-02-04 13:26:35, 2018-02-04 13:26:35,-1,1, C8:3A:35:54:23:40,,,,,,,,,
C0:9F:05:7B:67:24, 2018-02-04 13:24:42, 2018-02-04 13:24:42,-94,2, (not associated) ,iBall-Baton,,,,,,,,
B4:62:93:F4:73:85, 2018-02-04 13:24:51, 2018-02-04 13:24:51,-1,1, 2C:D0:2D:11:70:80,,,,,,,,,
EC:DF:3A:11:EF:E0, 2018-02-04 13:25:16, 2018-02-04 13:25:16,-89,1, (not associated) ,,,,,,,,,
E4:5D:75:F0:BD:39, 2018-02-04 13:25:27, 2018-02-04 13:25:27,-85,2, (not associated) ,sai samartha pratishtan,,,,,,,,
78:A8:73:09:AC:DD, 2018-02-04 13:24:20, 2018-02-04 13:25:52,-1,44, 00:1E:A6:4E:43:D0,,,,,,,,,
70:8B:CD:2B:70:FF, 2018-02-04 13:26:20, 2018-02-04 13:26:20,-1,1, 00:1E:A6:A6:32:50,,,,,,,,,
C8:3A:35:0F:49:C8, 2018-02-04 13:27:31, 2018-02-04 13:27:31,-1,1, 00:1E:A6:77:D6:A0,,,,,,,,,
DA:A1:19:78:DB:32, 2018-02-04 13:27:54, 2018-02-04 13:27:54,-90,3, (not associated) ,,,,,,,,,
3C:77:E6:2B:0C:38, 2018-02-04 13:28:10, 2018-02-04 13:29:18,-1,3, A0:AB:1B:D6:E6:B1,,,,,,,,,
DC:1A:C5:E6:A2:F7, 2018-02-04 13:29:17, 2018-02-04 13:29:29,-89,4, (not associated) ,Yadav,,,,,,,,
DA:A1:19:33:05:9F, 2018-02-04 13:29:28, 2018-02-04 13:29:29,-88,6, (not associated) ,Hindustan Ply Center,,,,,,,,
44:74:6C:BD:92:25, 2018-02-04 13:26:08, 2018-02-04 13:29:28,-86,3, DC:1A:C5:69:B7:DF,,,,,,,,,
1C:56:FE:0D:B7:3F, 2018-02-04 13:25:44, 2018-02-04 13:30:06,-82,134, AC:C1:EE:A5:CD:57,Redmi,,,,,,,,
DA:A1:19:C0:74:A1, 2018-02-04 13:30:28, 2018-02-04 13:30:28,-92,1, (not associated) ,,,,,,,,,
38:A4:ED:C2:21:C7, 2018-02-04 13:24:24, 2018-02-04 13:30:27,-1,2, 00:1E:A6:79:D0:48,,,,,,,,,
18:F0:E4:C2:E0:FD, 2018-02-04 13:25:16, 2018-02-04 13:30:44,-85,9, 54:B8:0A:0F:97:A6,,,,,,,,,
F4:F5:24:1C:C0:7B, 2018-02-04 13:31:04, 2018-02-04 13:31:05,-89,2, C8:3A:35:54:23:40,,,,,,,,,
C0:EE:FB:FB:2B:38, 2018-02-04 13:31:04, 2018-02-04 13:31:04,-87,1, (not associated) ,,,,,,,,,
18:3A:2D:92:53:B4, 2018-02-04 13:24:24, 2018-02-04 13:31:55,-1,3, 00:1E:A6:79:D0:48,,,,,,,,,
DA:A1:19:9D:3E:C9, 2018-02-04 13:32:40, 2018-02-04 13:32:40,-93,1, (not associated) ,,,,,,,,,
CC:61:E5:F6:62:6E, 2018-02-04 13:32:50, 2018-02-04 13:33:31,-1,8, 2C:D0:2D:11:70:80,,,,,,,,,
04:B1:67:F9:08:A1, 2018-02-04 13:34:07, 2018-02-04 13:34:07,-1,9, 2C:D0:2D:11:70:80,,,,,,,,,
58:3F:54:C5:ED:AC, 2018-02-04 13:34:11, 2018-02-04 13:34:16,-87,4, (not associated) ,,,,,,,,,
00:03:AB:FA:E2:0C, 2018-02-04 13:24:17, 2018-02-04 13:34:54,-88,20, (not associated) ,,,,,,,,,
4C:A5:6D:B3:69:7B, 2018-02-04 13:25:06, 2018-02-04 13:35:39,-1,12, 00:1E:A6:A9:2A:B0,,,,,,,,,
64:CC:2E:98:9A:FF, 2018-02-04 13:35:56, 2018-02-04 13:35:56,-91,1, (not associated) ,,,,,,,,,
E4:5D:75:80:80:6F, 2018-02-04 13:24:50, 2018-02-04 13:36:59,-92,14, C8:3A:35:09:2E:30,Kiran,,,,,,,,
AC:C1:EE:A6:80:D3, 2018-02-04 13:24:16, 2018-02-04 13:37:00,-92,31, C8:3A:35:B7:82:28,,,,,,,,,
64:6C:B2:E6:35:A3, 2018-02-04 13:24:20, 2018-02-04 13:36:12,-91,9, C8:3A:35:B7:82:28,maharana,,,,,,,,
04:56:04:BC:66:3D, 2018-02-04 13:26:12, 2018-02-04 13:36:56,-91,12, (not associated) ,,,,,,,,,
DC:1A:C5:24:3E:D9, 2018-02-04 13:36:57, 2018-02-04 13:36:57,-89,1, 54:B8:0A:0F:97:A6,,,,,,,,,
CC:61:E5:F4:92:FC, 2018-02-04 13:27:58, 2018-02-04 13:36:28,-87,109, 00:1E:A6:66:ED:20,Manvik,,,,,,,,
88:79:7E:BD:86:CC, 2018-02-04 13:24:25, 2018-02-04 13:36:25,-84,35, 00:1E:A6:4E:43:D0,,,,,,,,,
74:8D:08:34:D7:91, 2018-02-04 13:30:05, 2018-02-04 13:36:10,-33,36, C4:E9:84:9A:E7:C6,,,,,,,,,
4C:49:E3:78:8D:35, 2018-02-04 13:25:55, 2018-02-04 13:36:46,-27,2979, C4:E9:84:9A:E7:C6,,,,,,,,,
AC:C3:3A:15:B4:13, 2018-02-04 13:29:47, 2018-02-04 13:36:38,-1,53, 2C:D0:2D:11:70:80,,,,,,,,,
BC:2F:3D:9F:6B:11, 2018-02-04 13:32:55, 2018-02-04 13:36:34,-1,108, 00:1E:A6:4E:43:D0,,,,,,,,,
00:6F:64:7B:7A:73, 2018-02-04 13:31:55, 2018-02-04 13:36:41,-1,21, 10:BE:F5:A3:7C:9F,,,,,,,,,
